TC ID,Test case name,Input length type,Input,Expected output,Actual output,Status,Accuracy justification/ Description of issue type,What is covered by the test
Pos_Fun_0001,Short daily greeting question,S,oyata kohomadha?,ඔයාට කොහොමද?,ඔයට කොහොමද?,Fail,Meaning preserved; correct Sinhala spelling; question mark remains correctly placed.,Daily language usage → Greeting/response → Interrogative → S (≤30) → Accuracy validation
Pos_Fun_0002,Formal greeting,S,ayubowan obata,ආයුබෝවන් ඔබට,අයුබොwඅන් ඔබට,Fail,Common formal greeting; correct Sinhala output with proper spacing.,Common greetings → Polite/formal phrasing → S (≤30) → Accuracy validation
Pos_Fun_0003,Short morning greeting,S,suba udhaasanak,සුබ උදෑසනක්,සුබ උදාසනක්,Fail,Common greeting phrase; accurate Sinhala conversion.,Daily language usage → Greeting → S (≤30) → Accuracy validation
Pos_Fun_0004,Polite request with English 'please' (mixed),M,please mata tikak udav karanna.,please මට ටිකක් උදව් කරන්න.,please මට ටිකක් උඩව් කරන්න.,Fail,English 'please' remains; Sinhala request accurate; punctuation preserved.,Mixed Singlish + English → Polite request → Imperative → M (31–299) → Accuracy validation
Pos_Fun_0005,Polite request using karunakara,M,karunakara poddak inna.,කරුණාකර පොඩ්ඩක් ඉන්න.,කරුනකර පොඩ්ඩක් ඉන්න.,Fail,Polite marker preserved; imperative/request form correct.,Request forms (politeness) → Imperative → M (31–299) → Accuracy validation
Pos_Fun_0006,Simple present tense daily sentence,S,mama gedara yanava,මම ගෙදර යනවා,මම ගෙඩර යනව,Fail,Simple sentence; present tense preserved; common daily usage.,Sentence structures → Simple → Present tense → S (≤30) → Accuracy validation
Pos_Fun_0007,Simple request (need water),S,mata wathura ona,මට වතුර ඕන,මට wඅතුර ඔන,Fail,Daily request phrase; accurate conversion; natural Sinhala.,Daily usage → Requests → S (≤30) → Accuracy validation
Pos_Fun_0008,Imperative command (short),S,pahatha balanna.,පහත බලන්න.,පහත බලන්න.,Pass,Command preserved; punctuation kept; correct Sinhala.,Imperative (command) → Punctuation → S (≤30) → Accuracy validation
Pos_Fun_0009,Negative form (cannot come),S,mama enna bae,මම එන්න බැහැ,මම එන්න බැ,Fail,Negation pattern preserved; correct negative form.,Positive vs negative → Negation patterns → S (≤30) → Accuracy validation
Pos_Fun_0010,Past tense simple sentence,S,mama gedara giyaa,මම ගෙදර ගියා,මම ගෙඩර ගියා,Fail,Past tense preserved; accurate daily expression.,Tense variations → Past → Simple sentence → S (≤30) → Accuracy validation
Pos_Fun_0011,Future intention with time reference,S,heta mama ennam,හෙට මම එන්නම්,හෙට මම එන්නම්,Pass,Future intention preserved; time word correctly mapped.,Tense variations → Future → S (≤30) → Accuracy validation
Pos_Fun_0012,Plural pronoun daily plan,S,api heta yamu,අපි හෙට යමු,අපි හෙට යමු,Pass,Plural pronoun preserved; future suggestion form correct.,Plural usage/pronouns → Future (suggestion) → S (≤30) → Accuracy validation
Pos_Fun_0013,Interrogative about place,S,oya kohedha inne?,ඔයා කොහෙද ඉන්නේ?,ඔය කොහෙද ඉන්නේ?,Fail,Question form preserved; correct Sinhala for location query.,Interrogative → Daily usage → Pronoun variation → S (≤30) → Accuracy validation
Pos_Fun_0014,Compound sentence using saha,M,ammaa saha thaththaa kade giya.,අම්මා සහ තාත්තා කඩේ ගියා.,අම්මා සහ තත්තා කඩෙ ගිය.,Fail,Compound structure preserved; connector correct; punctuation kept.,Sentence structures → Compound → Past tense → M (31–299) → Accuracy validation
Pos_Fun_0015,Compound sentence using habayi,M,vassa vahinava habayi mama yanna ona.,වැස්ස වහිනවා හැබයි මම යන්න ඕන.,වස්ස වහිනව හබයි මම යන්න ඔන.,Fail,Contrast connector preserved; meaning remains; punctuation preserved.,Sentence structures → Compound (contrast) → Daily usage → M (31–299) → Accuracy validation
Pos_Fun_0016,Complex sentence (cause/effect),M,vassa vahinava nisa api gedara inna.,වැස්ස වහිනවා නිසා අපි ගෙදර ඉන්නවා.,වස්ස වහිනව නිස අපි ගෙඩර ඉන්න.,Fail,Cause/effect preserved; complex structure correct.,Sentence structures → Complex → Daily usage → M (31–299) → Accuracy validation
Pos_Fun_0017,Conditional / if-then style,M,salli thibboth api car ekak ganna puluwan.,සල්ලි තිබ්බොත් අපි car එකක් ගන්න පුළුවන්.,සල්ලි තිබ්බොත් අපි car එකක් ගන්න පුලුwඅන්.,Fail,Conditional meaning preserved; mixed English word remains; grammar readable.,Complex sentence (conditional) → Mixed language → M (31–299) → Accuracy validation
Pos_Fun_0018,Joined vs segmented word variation (question),M,kavada da oyata enna puluvan?,කවදාද ඔයාට එන්න පුළුවන්?,කවඩ ඩ ඔයට එන්න පුලුවන්?,Fail,Joined form produced; interrogative preserved; question mark retained.,Joined vs segmented variations → Interrogative → M (31–299) → Accuracy validation
Pos_Fun_0019,Repeated words for emphasis,S,ikman ikman enna,ඉක්මන් ඉක්මන් එන්න,ඉක්මන් ඉක්මන් එන්න,Pass,Repetition preserved; imperative retained; correct Sinhala.,Repeated word expressions → Imperative → S (≤30) → Accuracy validation
Pos_Fun_0020,Common response (okay/yes),S,hari hari,හරි හරි,හරි හරි,Pass,Common spoken response; repetition preserved.,Common responses → Repeated words → S (≤30) → Accuracy validation
Pos_Fun_0021,Mixed language with place + English remain,M,"mama Colombo giyaa, but traffic hari.","මම Colombo ගියා, but traffic හරි.","මම Colombo ගියා, but traffic හරි.",Pass,Place and English words remain; Sinhala parts converted; punctuation preserved.,Mixed language → Places + common English remain → Punctuation → M (31–299) → Accuracy validation
Pos_Fun_0022,English abbreviation and short forms remain,M,API test eka hari da? ok.,API test එක හරි ද? ok.,API test එක හරි ඩ? ඔක්.,Fail,Abbreviation preserved; Sinhala conversion for local words; punctuation preserved.,English abbreviations/short forms → Mixed language → Punctuation → M (31–299) → Accuracy validation
Pos_Fun_0023,Punctuation + numbers + units (short/medium),M,"mama km 5k walk kala, 10:30ta awaa.","මම km 5k walk කළා, 10:30ට ආවා.","මම km 5ක් walk කල, 10:30ට අwආ.",Fail,Numbers/time/unit remain readable; punctuation preserved; Sinhala conversion applied to other words.,Numeric formats + time + units → Punctuation → Past tense → M (31–299) → Robustness
Pos_Fun_0024,Long paragraph robustness (date/time/currency/unit + mixed),L,"hello! mama heta 2026-02-10 dawasata Colombo yanna inne. udeta 10:30 AM wenakota bus eka enawa kiyala hithanawa. ticket eka Rs. 2,500.00 wage. km 12k vitharai. karunakara mata message ekak danna, api meet wenna puluvan nam. thank you!","hello! මම හෙට 2026-02-10 දවසට Colombo යන්න ඉන්නේ. උදේට 10:30 AM වෙනකොට bus එක එනවා කියලා හිතනවා. ticket එක Rs. 2,500.00 වගේ. km 12k විතරයි. කරුණාකර මට message එකක් දන්න, අපි meet වෙන්න පුළුවන් නම්. thank you!","hello! මම හෙට 2026-02-10 ඩwඅසට Colombo යන්න ඉන්නේ. උඩෙට 10:30 AM wඑනකොට bus එක එනwඅ කියල හිතනwඅ. ticket එක Rs. 2,500.00 wage. km 12ක් විතරෛ. කරුනකර මට message එකක් ඩන්න, අපි මේට් wඑන්න පුලුවන් නම්. thank you!",Fail,Long input should not crash; key formats (date/time/currency/unit) and English terms remain readable; Sinhala conversion consistent.,Input length → Long (≥300) → Mixed language + brand/tech terms → Date/time/currency/units → Punctuation/formatting → Robustness
Neg_Fun_0001,Joined particle may split incorrectly,S,kavada da?,කවදාද?,කවඩ ඩ?,Fail,Fail if output becomes split form like 'කවද ද?' or incorrect join/spelling.,Joined vs segmented variation → Interrogative → S (≤30) → Failure detection
Neg_Fun_0002,Negation ambiguity (nae),S,eka hari nae,එක හරි නෑ,එක හරි නැ,Fail,Fail if negation spelling/meaning changes or is lost.,Negation patterns → Negative form → S (≤30) → Failure detection
Neg_Fun_0003,Slang + colloquial phrasing,S,machan uba hari da?,මචං උබ හරි ද?,මචන් උබ හරි ඩ?,Fail,"Fail if slang/pronoun is distorted, removed, or unnatural.",Informal language → Slang/colloquial → Interrogative → S (≤30) → Failure detection
Neg_Fun_0004,Over-segmentation extreme spacing,M,m a m a  g e d a r a  y a n a v a,මම ගෙදර යනවා,m a m a g එ ඩ් a ර් a ය් a n a v a,Fail,Fail if system cannot reconstruct tokens and outputs nonsense/no conversion.,Joined vs segmented extremes → Robustness → M (31–299) → Failure detection
Neg_Fun_0005,Multiple spaces + tabs formatting stress,M,mama		gedara    yanava,මම ගෙදර යනවා,මම ගෙඩර යනව,Fail,Fail if whitespace causes word loss/merge or inconsistent output.,Multiple spaces → Text formatting robustness → M (31–299) → Failure detection
Neg_Fun_0006,Line breaks / paragraph input stress,M,"suba dawasak!

oyata kohomadha?
api heta set wenna","සුබ දවසක්!

ඔයාට කොහොමද?
අපි හෙට සෙට් වෙන්න","සුබ ඩwඅසක්!

ඔයට කොහොමද?
අපි හෙට සෙට් wඑන්න",Fail,Fail if line breaks removed or translation incomplete per line.,Line breaks + paragraph style → Formatting robustness → M (31–299) → Failure detection
Neg_Fun_0007,Punctuation + quotes handling,M,"ane! meka ""hari"" da? (sure?)","අනේ! මේක ""හරි"" ද? (sure?)","අනෙ! මෙක ""හරි"" ඩ? (sure?)",Fail,Fail if punctuation breaks output or English inside parentheses gets corrupted.,Punctuation marks → Mixed English → M (31–299) → Failure detection
Neg_Fun_0008,English abbreviation should remain (API),S,API test eka hari da?,API test එක හරි ද?,API test එක හරි ඩ?,Fail,Fail if 'API' is converted to Sinhala letters or casing/format breaks.,English abbreviations/short forms → Mixed content → S (≤30) → Failure detection
Neg_Fun_0009,Brand/tech term preservation (YouTube),M,mama YouTube eke video ekak baluwa.,මම YouTube එකේ video එකක් බැලුවා.,මම YouTube eke video එකක් බලුwඅ.,Fail,Fail if brand/English nouns are over-converted or spacing breaks.,English technical/brand terms → Past tense → M (31–299) → Failure detection
Neg_Fun_0010,Currency numeric formatting stress,M,"Rs. 2,500.00 dennam, habayi 2 dinakin.","Rs. 2,500.00 දෙන්නම්, හැබයි 2 දිනකින්.","Rs. 2,500.00 ඩෙන්නම්, හබයි 2 ඩිනකින්.",Fail,Fail if commas/decimals/digits are altered or formatting breaks.,Currency formats → Numeric formats + punctuation → M (31–299) → Failure detection
Neg_Fun_0011,Time format stress,S,oya 10:30 PM enawada?,ඔයා 10:30 PM එනවද?,ඔය 10:30 PM එනwඅඩ?,Fail,Fail if time/PM is converted or corrupted.,Time formats → Interrogative → S (≤30) → Failure detection
Neg_Fun_0012,Date format stress,S,2026-02-10 dawasata enna,2026-02-10 දවසට එන්න,2026-02-10 ඩwඅසට එන්න,Fail,Fail if date is broken/partially converted or loses formatting.,Date formats → Imperative/request → S (≤30) → Failure detection
Neg_Fun_0013,Units of measurement stress,M,km 18k wage yanna wenawa.,km 18k වගේ යන්න වෙනවා.,km 18ක් wage යන්න wඑනwඅ.,Fail,Fail if unit 'km' or numeric pattern is altered incorrectly.,Units of measurement → Numeric formats → M (31–299) → Failure detection
Neg_Fun_0014,Long noisy mixed input (abbr/brand/phone/date/time/currency/unit),L,"machan, mama tomorrow Colombo yanna inne. Google Maps on karala route eka balanna one. ETA 45min kiyala pennanawa, but bus late. pls call me 0712345678; api 2026-02-10 10:30 AM meet wenna. Rs. 3,000.00 wage ganna wenawa, km 18k.","මචං, මම tomorrow Colombo යන්න ඉන්නේ. Google Maps on කරලා route එක බලන්න ඕනේ. ETA 45min කියලා පේන්නවා, but bus late. pls call me 0712345678; අපි 2026-02-10 10:30 AM meet වෙන්න. Rs. 3,000.00 වගේ ගන්න වෙනවා, km 18k.","මචන්, මම tomorrow Colombo යන්න ඉන්නේ. Google Maps on කරල route එක බලන්න one. ETA 45min කියල පෙන්නනwඅ, but bus late. ප්ල්ස් call මෙ 0712345678; අපි 2026-02-10 10:30 AM මේට් wඑන්න. Rs. 3,000.00 wage ගන්න wඑනwඅ, km 18ක්.",Fail,"Fail if English/abbr terms are over-converted, formats corrupted, or truncation occurs due to long/noisy input.",Long input (≥300) → Mixed language → Abbreviations/brand terms → Numbers/date/time/currency/units → Robustness → Failure detection
UI_0001,Swap button rapid clicks should not break translation UI,N/A,"Swap x5 quickly, then enter a new sentence",UI responsive; output updates correctly,oyata kohomadha?,Pass,UI remains responsive; swapping does not freeze or clear fields unexpectedly.,UI stability/usability under rapid interaction